hospital,d_2015,d_2016,link_2015,link_2016
"Bridgeport Hospital",40511922,36465960,https://www.documentcloud.org/documents/4383737-Yale-HealthCare-Yale-New-Haven-Bridgeport.html,https://www.documentcloud.org/documents/4383379-Yale-Health-Yale-New-Haven-Bpt-Greenwich-and-L-M.html
Bristol Hospital,0,0,https://www.documentcloud.org/documents/4383708-Bristol-Hospital-2015.html,https://www.documentcloud.org/documents/4383305-Bristol-Hospital-2016-Filed-6-6-2017.html
Charlotte Hungerford Hospital,4632589,6072950,https://www.documentcloud.org/documents/4383709-Charlotte-Hungerford-Hospital-2015.html,https://www.documentcloud.org/documents/4383329-Charlotte-Hungerford-Hospital-2016.html
Connecticut Childrens Medical Center,10071694,12293049,https://www.documentcloud.org/documents/4383710-Conn-Children-s-Medical-Center-2015.html,https://www.documentcloud.org/documents/4383334-Connecticut-Children-s-2016.html
Day Kimball Healthcare,0,0,https://www.documentcloud.org/documents/4383711-Day-Kimball-Hospital-2015.html,https://www.documentcloud.org/documents/4383338-Day-Kimball-Healthcare-2016.html
Gaylord Hospital,0,0,https://www.documentcloud.org/documents/4383712-Gaylord-Hospital-2015.html,https://www.documentcloud.org/documents/4383340-Gaylord-Hospital-2016.html
Griffin Hospital,0,0,https://www.documentcloud.org/documents/4383713-Griffin-Hospital-2015.html,https://www.documentcloud.org/documents/4383341-Griffin-Hospital-2016.html
"Greenwich Hospital",15859888,2853917,https://www.documentcloud.org/documents/4383737-Yale-HealthCare-Yale-New-Haven-Bridgeport.html,https://www.documentcloud.org/documents/4383379-Yale-Health-Yale-New-Haven-Bpt-Greenwich-and-L-M.html
Hartford Hospital,31701719,37699428,https://www.documentcloud.org/documents/4383714-Hartford-HealthCare-Hartford-Hosp-2015.html,https://www.documentcloud.org/documents/4383342-Hartford-Hospital-2016.html
Hebrew HealthCare,0,0,https://www.documentcloud.org/documents/4383715-Hebrew-HealthCare-2015.html,https://www.documentcloud.org/documents/4383343-Hebrew-HealthCare-2016.html
The Hospital of Central Connecticut,18126029,18367947,https://www.documentcloud.org/documents/4383716-Hospital-of-CT-Conn-2015.html,https://www.documentcloud.org/documents/4383344-Hospital-of-Central-Connecticut-2016.html
Hospital for Special Care,52331,69206,https://www.documentcloud.org/documents/4383717-Hospital-for-Special-Care-2015.html,https://www.documentcloud.org/documents/4383347-Hospital-for-Special-Care-2016.html
Lawrence + Memorial Hospital,1455210,1860425,https://www.documentcloud.org/documents/4383718-L-M-Hospital-2015.html,https://www.documentcloud.org/documents/4383350-Lawrence-Memorial-Hospital-2016.html
